-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.094,  0.247
-183.798, 80.187, 0.206,  0.280
-183.795, 80.178, 0.296,  0.313
-183.791, 80.165, 0.398,  0.346
-183.785, 80.148, 0.497,  0.379
-183.777, 80.128, 0.627,  0.412
-183.768, 80.103, 0.781,  0.445
-183.758, 80.070, 1.037,  0.478
-183.748, 80.028, 1.282,  0.511
-183.738, 79.979, 1.482,  0.544
-183.730, 79.926, 1.626,  0.577
-183.721, 79.870, 1.685,  0.610
-183.713, 79.813, 1.717,  0.643
-183.706, 79.757, 1.727,  0.676
-183.698, 79.701, 1.720,  0.709
-183.691, 79.645, 1.701,  0.742
-183.684, 79.590, 1.672,  0.775
-183.676, 79.537, 1.637,  0.808
-183.670, 79.485, 1.598,  0.841
-183.663, 79.435, 1.530,  0.874
-183.657, 79.386, 1.468,  0.907
-183.650, 79.340, 1.413,  0.940
-183.644, 79.295, 1.367,  0.973
-183.638, 79.252, 1.332,  1.006
-183.633, 79.209, 1.309,  1.039
-183.627, 79.166, 1.298,  1.072
-183.621, 79.123, 1.299,  1.105
-183.615, 79.080, 1.311,  1.138
-183.610, 79.036, 1.334,  1.171
-183.604, 78.991, 1.366,  1.204
-183.599, 78.945, 1.401,  1.237
-183.593, 78.897, 1.439,  1.270
-183.588, 78.848, 1.475,  1.303
-183.582, 78.798, 1.507,  1.336
-183.576, 78.747, 1.533,  1.369
-183.571, 78.696, 1.552,  1.402
-183.565, 78.644, 1.565,  1.435
-183.559, 78.592, 1.571,  1.468
-183.553, 78.540, 1.572,  1.501
-183.548, 78.488, 1.568,  1.534
-183.542, 78.436, 1.563,  1.567
-183.536, 78.385, 1.556,  1.600
-183.531, 78.334, 1.550,  1.633
-183.525, 78.283, 1.545,  1.666
-183.520, 78.232, 1.542,  1.699
-183.514, 78.181, 1.542,  1.732
